"topic","dat","databaseName","sourceURL","variableID","var","variableName","infoURL","API","ver","resDefault","dataDatePublished","public","licenseName","resolution","bibtex","text","tags","defaultVariable","itemID","dateAdded","itemSucceeds","itemVersion","codeDate","codeFile","primitive","email","coder","class","language","dependencies","depURL","datafileName","dataID","dataDOI","primaryURL","secondaryURL","fileMD5","chronos","ext","repoName","defaultClass"
NA,"SOM-kocsis-provinciality","Code, used data and supplementary items for the articled Increase in marine provinciality over the last 250 million years governed more by climate change than plate tectonics","https://zenodo.org/record/3973037",1,"sstinter","S6. Interpolated  temperature  reconstructions  based  on  the  HadCM3L  climate  models  and  the PaleoMAP Paleocoastlines","http://www.chronosphere-portal.org/",NA,"v1.0",1,"2021-07-25",1,"CC BY 4.0","1","@article{kocsis2021increase,|-&-|  title = {Increase in Marine Provinciality over the Last 250 Million Years Governed More by Climate Change than Plate Tectonics},|-&-|  author = {Kocsis, Ádámm T. and Reddin, Carl J. and Scotese, CR and Valdes, Paul J. and Kiessling, Wolfgang},|-&-|  year = {2021},|-&-|  journal = {Proceedings of the Royal Society B},|-&-|  pages = {20211342},|-&-|  doi = {10.1098/rspb.2021.1342}|-&-|}|-&-|","Kocsis, Á. T., Reddin, C. J., Scotese, C., Valdes, P. J., & Kiessling, W. (2021). Increase in marine provinciality over the last 250 million years governed more by climate change than plate tectonics. Proceedings of the Royal Society B, 20211342. https://doi.org/10.1098/rspb.2021.1342",NA,TRUE,1,"2022-08-10",NA,1,"2022-08-10","sstCode.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","SpatialArray","R","chronosphere 0.4|&|rgdal 1.5-16|&|ncdf4 1.17","https://cran.r-project.org/package=chronosphere|&|https://cran.r-project.org/package=rgdal|&|https://cran.r-project.org/package=ndf4","S6_sst_inter_1deg.zip",1,"https://doi.org/10.5281/zenodo.3973036","https://zenodo.org/record/3973037/files/S6_sst_inter_1deg.zip?download=1",NA,"07a196d328d4da04fa9eaa5f8546d485",0,"tiff","Zenodo","SpatialArray"
NA,"SOM-reddin-sensitivity","Repository for: Reddin et al. 2020. Marine clade sensitivities to climate change conform across time scales","https://zenodo.org/record/3465281",2,"modern","Modern metaanalysis support data","http://www.chronosphere-portal.org/",NA,"Version 1",1,"2020-01-21",1,"CC BY 4.0",NA,"@article{reddin2020marine,|-&-|  title = {Marine Clade Sensitivities to Climate Change Conform across Timescales},|-&-|  author = {Reddin, Carl J. and Nätscher, Paulina S. and Kocsis, Ádám T. and Pörtner, Hans-Otto and Kiessling, Wolfgang},|-&-|  year = {2020},|-&-|  month = mar,|-&-|  journal = {Nature Climate Change},|-&-|  volume = {10},|-&-|  number = {3},|-&-|  pages = {249--253},|-&-|  publisher = {{Nature Publishing Group}},|-&-|  issn = {1758-6798},|-&-|  doi = {10.1038/s41558-020-0690-7},|-&-|  abstract = {Climate change induced warming, hypoxia and acidification threaten marine species. Experimental work shows that the susceptibility of clades to climate-related stressors in the modern ocean is related to their extinction risk in the fossil record, which could allow prediction of future responses.},|-&-|  copyright = {2020 The Author(s), under exclusive licence to Springer Nature Limited},|-&-|  language = {en},|-&-|  file = {/media/adam/work/Dropbox/Libraries/- Journals/N/Nature Ecology and Evolution/Vol. 4, 2020/Reddin et al. - 2020 - Marine clade sensitivities to climate change confo.pdf}|-&-|}","Reddin, C. J., Nätscher, P. S., Kocsis, Á. T., Pörtner, H.-O., & Kiessling, W. (2020). Marine clade sensitivities to climate change conform across timescales. Nature Climate Change, 10(3), 249–253. https://doi.org/10.1038/s41558-020-0690-7",NA,TRUE,2,"2022-08-10",NA,1,"2022-08-10","modern.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","data.frame","R",NA,NA,"Reddin et al. Modern metaanalysis supporting data.csv",2,"https://doi.org/10.5281/zenodo.3465280","https://zenodo.org/record/3465281/files/Reddin%20et%20al.%20Modern%20metaanalysis%20supporting%20data.csv?download=1",NA,"86730353475013cc4230f85527a1887e",0,"csv","Zenodo","data.frame"
"Paleogeography","paleomap","PALEOMAP project","www.scotese.com",3,"dem","PaleoMAP Paleodigital Elevation Models","wwww.chronosphere-portal.org/placeholder",NA,"20180811",1,"2018-08-11",1,"CC BY 4.0","1","@article{scotese2018paleomap,|-&-| author = {Scotese, Christopher R and Wright, Nicky},|-&-| title = {{PALEOMAP} {Paleodigital} {Elevation} {Models} ({PaleoDEMS}) for the {Phanerozoic}},|-&-| url = {https://www.earthbyte.org/paleodem-resource-scotese-and-wright-2018/},|-&-| year = {2018}|-&-|}|-&-||-&-|","Scotese, C. R., & Wright, N. (2018). PALEOMAP Paleodigital Elevation Models (PaleoDEMS) for the Phanerozoic. https://www.earthbyte.org/paleodem-resource-scotese-and-wright-2018/","global,paleo,topography,raster",TRUE,3,"2022-08-10",NA,1,"2022-08-10","3_paleomap_dem_2018-08-11_1.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","RasterArray","R","ncdf4 1.17|&|raster 3.3-13","https://cran.r-project.org/package=ndf4|&|https://cran.r-project.org/package=raster","placeholder_dem1.zip",3,"placeholder_dem","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/paleomap_dem_20180811_1.zip",NA,"placeholder_md5string_dem",1,"nc","Zenodo","RasterArray"
"Paleogeography","paleomap","PALEOMAP project","www.scotese.com",4,"model","Plate tectonic reconstruction","wwww.chronosphere-portal.org/placeholder",NA,"v3-GPlates",1,"2016-02-16",1,"CC BY 4.0",NA,"@misc{scotese2016tutorial,|-&-| author = {Scotese, Christopher R},|-&-| title = {{PALEOMAP} {PaleoAtlas} for {GPlates} and the {PaleoData} {Plotter} {Program}},|-&-| url = {http://www.earthbyte.org/paleomap‐ paleoatlas‐for‐gplates},|-&-| year = {2016}|-&-|}|-&-||-&-|","Scotese, C. R. (2016). PALEOMAP PaleoAtlas for GPlates and the PaleoData Plotter Program. http://www.earthbyte.org/paleomap‐ paleoatlas‐for‐gplates","global,paleo,tectonic model,GPlates",FALSE,4,"2022-08-10",NA,1,"2022-08-10","4_paleomap_model_v3-GPlates.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","platemodel","R","rgplates 0.1.0","https://cran.r-project.org/package=rgplates","paleomap_model_v3-GPlates.zip",4,"placeholder_model_old","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/paleomap_model_v3-GPlates.zip",NA,"placeholder_md5string_model",1,"rot","Zenodo","platemodel"
"Paleogeography","paleomap","PALEOMAP project","www.scotese.com",3,"dem","PaleoMAP Paleodigital Elevation Models","wwww.chronosphere-portal.org/placeholder",NA,"20180811",0,"2018-08-11",1,"CC BY 4.0","0.5","@article{scotese2018paleomap,|-&-| author = {Scotese, Christopher R and Wright, Nicky},|-&-| title = {{PALEOMAP} {Paleodigital} {Elevation} {Models} ({PaleoDEMS}) for the {Phanerozoic}},|-&-| url = {https://www.earthbyte.org/paleodem-resource-scotese-and-wright-2018/},|-&-| year = {2018}|-&-|}|-&-||-&-|","Scotese, C. R., & Wright, N. (2018). PALEOMAP Paleodigital Elevation Models (PaleoDEMS) for the Phanerozoic. https://www.earthbyte.org/paleodem-resource-scotese-and-wright-2018/","global,paleo,topography,raster",TRUE,5,"2022-08-10",NA,1,"2022-08-10","5_paleomap_dem_2018-08-11_0.5.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","RasterArray","R","ncdf4 1.17|&|raster 3.3-13","https://cran.r-project.org/package=ndf4|&|https://cran.r-project.org/package=raster","paleomap_dem_20180811_0.5.zip",5,"placeholder_dem","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/paleomap_dem_20180811_0.5.zip",NA,"placeholder_md5string_dem0.5",1,"nc","Zenodo","RasterArray"
"Paleogeography","paleomap","PALEOMAP project","www.scotese.com",4,"model","Plate tectonic reconstruction","wwww.chronosphere-portal.org/placeholder",NA,"v19o_r1c",1,"2020-11-30",1,"CC BY 4.0",NA,"@misc{scotese2016tutorial,|-&-| author = {Scotese, Christopher R},|-&-| title = {{PALEOMAP} {PaleoAtlas} for {GPlates} and the {PaleoData} {Plotter} {Program}},|-&-| url = {http://www.earthbyte.org/paleomap‐ paleoatlas‐for‐gplates},|-&-| year = {2016}|-&-|}|-&-||-&-||&|@article{kocsis2021mapping,|-&-| abstract = {Sea levels shape the face of the Earth, define processes of sedimentation, and influence the evolution of life via the distribution of habitats. Ancient topographies can be reconstructed using the history and understanding of tectonic processes, lithological evidence, and present-day topographies. Paleogeographic reconstructions must accommodate ever newer sources of geological data, so we can refine and improve our model of ancient topography and bathymetry. Here, we assess the accuracy of a set of Phanerozoic digital paleogeographic maps by testing the proposed distribution of flooded shallow seas and land using fossil occurrence data from the Paleobiology Database. After noting a moderate match, we modified the positions of the coastlines and continental margins of these topographic models to reflect times of maximum transgression. Using the updated paleogeographic maps, we outline the changes of land and shallow marine areas over time and suggest ways they can be used for further investigations of our planet's history.},|-&-| author = {Kocsis, Ádám T. and Scotese, Christopher R.},|-&-| doi = {10.1016/j.earscirev.2020.103463},|-&-| issn = {0012-8252},|-&-| journal = {Earth-Science Reviews},|-&-| keywords = {Phanerozoic, Paleogeography, Fossils, Global, Coastlines, Continental flooding, Reconstruction},|-&-| language = {en},|-&-| note = {tex.ids= kocsis2020mapping},|-&-| pages = {103463},|-&-| title = {Mapping paleocoastlines and continental flooding during the {Phanerozoic}},|-&-| url = {https://www.sciencedirect.com/science/article/pii/S0012825220305092},|-&-| urldate = {2021-02-08},|-&-| volume = {213},|-&-| year = {2021}|-&-|}|-&-||-&-||&|@misc{kocsis_a_t_2020_4297693,|-&-| author = {Kocsis, A. T. and Scotese, C. R.},|-&-| doi = {10.5281/zenodo.4297693},|-&-| publisher = {Zenodo},|-&-| title = {{PaleoMAP} {PaleoCoastlines} data},|-&-| url = {https://doi.org/10.5281/zenodo.4297693},|-&-| year = {2020}|-&-|}|-&-||-&-|","Scotese, C. R. (2016). PALEOMAP PaleoAtlas for GPlates and the PaleoData Plotter Program. http://www.earthbyte.org/paleomap‐ paleoatlas‐for‐gplates|&|Kocsis, Á. T., & Scotese, C. R. (2021). Mapping paleocoastlines and continental flooding during the Phanerozoic. Earth-Science Reviews, 213, 103463. https://doi.org/10.1016/j.earscirev.2020.103463|&|Kocsis, A. T., & Scotese, C. R. (2020). PaleoMAP PaleoCoastlines data. Zenodo. https://doi.org/10.5281/zenodo.4297693","global,paleo,tectonic model,GPlates",FALSE,6,"2022-08-10",NA,1,"2022-08-10","6_paleomap_model_v19o_r1c.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","platemodel","R","rgplates 0.1.0","https://cran.r-project.org/package=rgplates","paleomap_model_v19o_r1c.zip",6,"placeholder_paleocoastlines_doi","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/paleomap_model_v19o_r1c.zip",NA,"placeholder_md5string_model",1,"rot","Zenodo","platemodel"
"fossils","pbdb","The Paleobiology Database","https://paleobiodb.org/",5,"base","Basic denormalized occurrence table (chronosphere)","https://chronosphere-portal.github.io/docs/pbdb/","https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname,attr,ident,img,plant,abund,ecospace,taphonomy,etbasis,pres,prot,lithext,geo,methods,resgroup,refattr,ent","20191122",1,"2019-11-22",1,"CC BY 4.0","species","NA","Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.","paleo,occurrences",FALSE,7,"2022-08-10",NA,1,"2022-08-10","7_pbdb_occs.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","data.frame","R",NA,NA,"pbdb_occs.rds",7,"testDOI_pbdb1","https://sandbox.zenodo.org/record/1091782/files/pbdb_occs.rds?download=1","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/pbdb_occs_20191122_species/pbdb_occs.rds","md5string",1,"rds","Zenodo","data.frame"
"fossils","pbdb","The Paleobiology Database","https://paleobiodb.org/",5,"base","Basic denormalized occurrence table (chronosphere)","https://chronosphere-portal.github.io/docs/pbdb/","https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname,attr,ident,img,plant,abund,ecospace,taphonomy,etbasis,pres,prot,lithext,geo,methods,resgroup,refattr,ent","20200217",1,"2020-02-17",1,"CC BY 4.0","species","NA","Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.","paleo,occurrences",FALSE,8,"2022-08-10",NA,1,"2022-08-10","7_pbdb_occs.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","data.frame","R",NA,NA,"pbdb_occs.rds",8,"testDOI_pbdb2","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/pbdb_occs_20200217_species/pbdb_occs.rds",NA,"md5string",1,"rds","Zenodo","data.frame"
"Geography","NaturalEarth","Natural Earth","https://www.naturalearthdata.com/",6,"land","Land polygons including major islands","http://www.chronosphere-portal.org/docs/NaturalEarth/",NA,"4-1-0",1,"2018-05-21",1,"CC PD","10m","NA","Made with Natural Earth. Free vector and raster map data @ naturalearthdata.com.","global,coastline,vector",TRUE,9,"2022-08-10",NA,1,"2022-08-10","8_NaturalEarth_land_4-1-0_10.R",1,"nussaibah.raja.schoob@fau.de","Nussaibah B. Raja","SpatialPolygonsDataFrame","R","sp 1.4-6|&|rgdal 1.5-1","https://cran.r-project.org/package=sp|&|https://cran.r-project.org/package=rgdal","NaturalEarth_land_4-1-0_10.zip",9,"placeholder_doi_ne","https://www.cnidaria.nat.fau.de/tersane/public/chronosphere/chrono-arch-1/archive/NaturalEarth_land_4-1-0_10.zip",NA,"placeholder_md5string_ne",1,"shx","Private","SpatialPolygonsDataFrame"
"fossils","pbdb","The Paleobiology Database","https://paleobiodb.org/",7,"baseref","Basic denormalized occurrence table with references","https://chronosphere-portal.github.io/docs/pbdb/","https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname","20200909",1,"2020-09-09",1,"CC BY 4.0","species","NA","Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.","paleo,occurrences",FALSE,10,"2022-10-21",NA,1,"2022-08-10","7_pbdb_occs.R",1,"adam.kocsis@fau.de","Adam Tibor Kocsis","data.frame","R",NA,NA,"pbdb_occs.rds",10,"10.5072/zenodo.1091782","https://sandbox.zenodo.org/record/1091782/files/pbdb_occs.rds?download=1",NA,"6daddca6113f0e22e22019ce6910589b",1,"rds","Zenodo","data.frame"
